group,gene,log2_fc,p_adj
group1,group1_gene_1,-0.1581602343560745,0.02446358052734897
group1,group1_gene_2,-2.1079769540487185,0.22271315684849138
group1,group1_gene_3,0.4881542339193631,0.0018066823754281501
group1,group1_gene_4,0.7638188387672601,0.03642463662457878
group1,group1_gene_5,-3.4290010235480626,0.34630871096238247
group1,group1_gene_6,-2.4881602849503612,0.09782363299879898
group1,group1_gene_7,-0.4146314154074362,0.002431711153443219
group1,group1_gene_8,-1.058551758898194,0.09187903368848935
group1,group1_gene_9,-0.6243616783812187,0.2926110286291551
group1,group1_gene_10,-1.8369136949816909,0.03989249109494042
group1,group1_gene_11,0.6751270635511014,0.06621375436689463
group1,group1_gene_12,0.527798306371975,0.004381514999914663
group1,Ldhc,-4.941758040025887,0.0030361985157807115
group1,group1_gene_14,1.0344997501036475,0.1099509418599282
group1,group1_gene_15,0.07788854626546615,0.00012620877284030203
group1,group1_gene_16,-1.8459740711806956,0.05162816473164329
group1,group1_gene_17,-0.06531136308037666,0.7067607780151385
group1,group1_gene_18,-1.9903797712020483,0.7063196956137268
group1,group1_gene_19,0.6737529368955452,0.019549292608923137
group1,group1_gene_20,-0.6723925709300667,0.03226692383816621
group1,group1_gene_21,-0.8680504271406277,0.1872058338420916
group1,group1_gene_22,-1.587347839385715,0.25852237320222277
group1,group1_gene_23,1.172684941077344,0.006377269328250832
group1,group1_gene_24,-0.8240677489997631,0.014522286816706644
group1,group1_gene_25,-1.2210753421365055,0.10393961361790045
group1,group1_gene_26,-1.1105936482079328,0.005054709197922523
group1,group1_gene_27,0.17184831905235565,0.014962907296184288
group1,group1_gene_28,-0.07010610667208639,0.09031163052641586
group1,group1_gene_29,-0.001537713185816858,0.6510860088032738
group1,group1_gene_30,0.024690454361429914,0.26502968712551433
group1,group1_gene_31,2.5053890212621686,0.13025161699603774
group1,group1_gene_32,-1.1893017737576925,0.0016484225734483418
group1,group1_gene_33,-1.342751957153729,0.0806174057792993
group1,group1_gene_34,-1.7799704559594227,0.08631815968456065
group1,group1_gene_35,0.2931701627344687,0.05382316729275832
group1,group1_gene_36,1.0370098244452928,0.23162723282551792
group1,group1_gene_37,-0.7652238135995688,0.3578670199344077
group1,group1_gene_38,-1.8182268915956654,0.005399074336559843
group1,group1_gene_39,-1.7954977627522974,0.6025527697918845
group1,group1_gene_40,0.34335954234581656,0.43148967241038855
group1,group1_gene_41,0.4777185482449914,0.09316921463533884
group1,group1_gene_42,0.1875736890425327,0.003280824639530606
group1,group1_gene_43,-1.5649890755686067,0.2090323400491188
group1,group1_gene_44,-0.2633660815532563,0.25523997187220554
group1,group1_gene_45,-0.43080557674594405,0.10617815495786284
group1,group1_gene_46,-0.2829015347429312,0.02495312831605646
group1,group1_gene_47,0.6635717280248753,0.14648675840074227
group1,group1_gene_48,-0.2757864542767107,0.0018166314060355407
group1,group1_gene_49,0.38442466645424755,0.0014718054694318947
group1,group1_gene_50,-0.5020103492411073,0.0931800702415292
group1,group1_gene_51,-0.18077687189952296,1.5941626285731285e-05
group1,group1_gene_52,0.3153679274658836,0.05711854152002961
group1,group1_gene_53,-2.712875938790716,0.0017458944099605557
group1,group1_gene_54,-1.063523263718087,0.027247747487169318
group1,group1_gene_55,-1.2820403487245535,0.028864693103087636
group1,group1_gene_56,-1.5263728799528458,0.701038263930587
group1,group1_gene_57,-0.9989562642786913,0.46978743883071356
group1,group1_gene_58,1.567664901289874,0.1325033561783151
group1,group1_gene_59,-1.8554551177552026,0.001529656574243099
group1,group1_gene_60,0.8040036141576471,0.026062940405508404
group1,group1_gene_61,-3.040161168842917,0.13011147202749856
group1,group1_gene_62,-1.0855832934793734,0.010681240307044313
group1,group1_gene_63,-0.36400805559774185,0.0018437244833313098
group1,group1_gene_64,0.25002238047095326,0.067061453185447
group1,group1_gene_65,0.43127854069963967,0.03761930920016863
group1,group1_gene_66,0.5503534910398916,0.053909086964921395
group1,group1_gene_67,-1.1056513547602345,0.07827042537995473
group1,group1_gene_68,-1.2704100993636223,0.3083042093045093
group1,group1_gene_69,0.6440650278228731,0.3408521210115715
group1,group1_gene_70,-0.8773912710783416,0.010935734818737743
group1,group1_gene_71,-2.4497451688399865,0.0016774164137469925
group1,group1_gene_72,-2.2432664603050467,0.13061972899474372
group1,group1_gene_73,-1.9332058147023363,0.13676882461057574
group1,group1_gene_74,0.1208830788779579,0.801844669006293
group1,group1_gene_75,-0.3934826826976804,0.0004499483785066688
group1,group1_gene_76,0.401203763398264,0.2822806067343067
group1,group1_gene_77,-1.2195163371879745,6.025094964165427e-07
group1,group1_gene_78,-0.37011744793876433,0.21846143785741987
group1,group1_gene_79,0.3071060712526382,0.687989542508097
group1,group1_gene_80,-1.0485524825943457,0.052790167242744795
group1,group1_gene_81,0.062324094458246604,0.005672167628433272
group1,group1_gene_82,-1.5597926145466443,0.008960582207075244
group1,group1_gene_83,-1.126428077519354,0.0037159979491020495
group1,group1_gene_84,-1.1535199462975771,0.39700341792423544
group1,group1_gene_85,-2.3339674861041075,0.0005176305422971737
group1,group1_gene_86,0.10611009713909358,0.0003675062720539208
group1,group1_gene_87,-1.2806333932939495,0.00028206810092237604
group1,group1_gene_88,-0.5818835278448532,0.03400920728434114
group1,group1_gene_89,0.09708265541356798,0.15208545698123363
group1,group1_gene_90,0.04747020524341894,0.17941672823671947
group1,group1_gene_91,0.36480840801054004,0.6901932553140331
group1,group1_gene_92,-0.7428039525386643,0.21080324909170817
group1,group1_gene_93,-1.213782552464023,0.9533001693570436
group1,group1_gene_94,-0.7155914058142786,0.7436059611544016
group1,group1_gene_95,-3.0466349292391435,0.03506360331999263
group1,group1_gene_96,-2.6983130850134764,0.12194671581595115
group1,group1_gene_97,-2.517914437913883,0.03977145718622801
group1,group1_gene_98,-2.0460079000221483,0.007783823758819702
group1,group1_gene_99,-0.020327371251016912,0.0232310791517865
group1,group1_gene_100,-1.9129446302720883,0.030407755953456617
group1,group1_gene_101,-1.148335703357115,0.08412013832818198
group1,group1_gene_102,1.2838810317897948,0.2969198445130284
group1,group1_gene_103,-1.1165827580390677,0.5337859233952252
group1,group1_gene_104,0.46939757427727546,0.2018054023521812
group1,group1_gene_105,-1.9537456360143217,0.0809140128013396
group1,group1_gene_106,-0.8978844589080635,0.059871091150836345
group1,group1_gene_107,-1.9775319796203426,0.0036804388167112965
group1,group1_gene_108,-1.0915979600558154,0.0994069798513589
group1,group1_gene_109,0.6184467993132235,0.01364738959773092
group1,group1_gene_110,-3.1046146136289057,0.6347417639408393
group1,group1_gene_111,0.029914283141493136,0.03363549136444961
group1,group1_gene_112,-0.25528337661819706,0.041307690734060945
group1,group1_gene_113,-1.461517435760352,0.0005165999255866014
group1,group1_gene_114,-2.6967838888632594,0.12172515884616182
group1,group1_gene_115,-0.4954122138148892,0.1326635331988519
group1,group1_gene_116,-1.3677644281425134,0.007569620822541682
group1,group1_gene_117,-0.26261949353567926,0.4995786639164875
group1,group1_gene_118,-0.5683143889910078,0.03631565036615974
group1,group1_gene_119,1.7225793924153274,0.5226502637303707
group1,group1_gene_120,-0.9470656598358851,3.57466727560881e-05
group1,group1_gene_121,-2.084071364301704,0.17136561935204495
group1,group1_gene_122,-0.34005032931334156,0.5521931925825669
group1,group1_gene_123,-0.2810048082409405,0.20423653617803295
group1,group1_gene_124,1.370821984098633,0.03567472281257992
group1,group1_gene_125,0.6109113065761388,0.015253950028448628
group1,group1_gene_126,-0.08253696423321144,0.0006988581171058088
group1,group1_gene_127,1.5217891922683644,0.24814777301357618
group1,group1_gene_128,-2.323706428768134,0.006310048984603965
group1,group1_gene_129,-1.527639722487134,0.7432354848246033
group1,group1_gene_130,-1.943535115038011,0.4284077606772718
group1,group1_gene_131,-1.1652242145758636,0.6229121256282666
group1,group1_gene_132,-2.596194913956648,0.3203957835372725
group1,group1_gene_133,0.32096887288088627,0.007585797876387879
group1,group1_gene_134,-0.9222229107932214,0.23921287376457198
group1,group1_gene_135,-2.732669127028854,0.17680780618245664
group1,group1_gene_136,-2.0725896677509352,0.03296871278201559
group1,group1_gene_137,-0.14540492119721682,0.017655183532353878
group1,group1_gene_138,0.6152835234468527,0.1674415445012376
group1,group1_gene_139,2.2952597929530905,0.43151050143923003
group1,group1_gene_140,3.625100575710628,0.0001215998132351974
group1,group1_gene_141,0.0008936782501948182,0.1654279376546586
group1,group1_gene_142,-2.034830274046203,0.13727366789853268
group1,group1_gene_143,-3.691467107060398,0.1063373294114018
group1,group1_gene_144,-0.21181837960143807,0.012265828923593996
group1,group1_gene_145,-1.7787645881999725,0.656897067098357
group1,group1_gene_146,-1.2022680272605437,8.224380679802124e-06
group1,group1_gene_147,-1.4875403586367217,0.14490150309432728
group1,group1_gene_148,-0.8041467853037586,0.010829632644904297
group1,group1_gene_149,0.9456713346420832,0.5470251636682721
group1,group1_gene_150,-0.3722795772042503,0.04432111176530605
group1,group1_gene_151,-0.830020513706098,3.0405876364477526e-05
group1,group1_gene_152,-2.101697941597427,8.81918283033155e-05
group1,group1_gene_153,-3.0282902698213174,0.011943138800642206
group1,group1_gene_154,-1.3051464681563298,0.3489551910610923
group1,group1_gene_155,-0.6779846986865647,0.0009385764742287403
group1,group1_gene_156,1.9634983746908299,0.7459381388298935
group1,group1_gene_157,-0.41110194386431553,0.36459058868037464
group1,group1_gene_158,0.8249722909834335,0.0830343832758757
group1,group1_gene_159,-1.3239786178817705,0.7127559687810041
group1,group1_gene_160,-2.3181684613046856,0.20499968401588886
group1,group1_gene_161,-1.9994193052369393,0.005803645776037119
group1,group1_gene_162,-1.651577793576842,0.2799036222458688
group1,group1_gene_163,2.4862811120309884,0.004760784324076825
group1,group1_gene_164,-1.79101068487536,8.012689851615578e-07
group1,group1_gene_165,0.6158093454177002,0.023038977634541043
group1,group1_gene_166,-1.9092444082261881,0.0051292778068741905
group1,group1_gene_167,0.7507808686676539,0.0007794609787823169
group1,group1_gene_168,-0.04182109914649845,0.17509121237576578
group1,group1_gene_169,-0.827124951604231,0.005672263705290047
group1,group1_gene_170,-0.6591056628963793,0.1828403106725345
group1,group1_gene_171,-1.549442158372616,0.02885009827159575
group1,group1_gene_172,0.046804692149016836,0.002973530001733733
group1,group1_gene_173,-1.259726046494131,0.32948593974597645
group1,group1_gene_174,-2.3771283574625097,0.940367964722299
group1,group1_gene_175,-2.453009482763448,0.3706176258107444
group1,group1_gene_176,-0.34974751930292675,0.0014825952381346743
group1,Peg10,3.558077472901476,0.00014256602035071328
group1,group1_gene_178,-0.3680121603185145,0.001965955353463413
group1,group1_gene_179,-0.7720255728593297,0.3684453568523614
group1,group1_gene_180,-0.1855520975763128,0.1139286857949912
group1,group1_gene_181,1.2937025254748957,0.07047118299063013
group1,group1_gene_182,-0.2818953730224083,0.42878808986704137
group1,group1_gene_183,-1.195844484708919,0.11128291534583672
